symbol,side,combo_idx,action,entry_price,notional_usdt,cluster,tier,status,reason
XRPUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
XVSUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
ZECUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
ZRXUSDT,long,4,,,,,,SKIPPED,MAX_OPEN
AAVEUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
ACXUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
AEROUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
ALGOUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
ALICEUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
ARCUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
ARUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
BNBUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
BNTUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
BOMEUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
BSVUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
BTCDOMUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
BTCUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
CAKEUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
CATIUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
COMPUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
COTIUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
CRVUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
DODOXUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
ETHFIUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
ETHUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
GMXUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
GUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
HFTUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
INJUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
LINKUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
LSKUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
MANTAUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
MINAUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
MORPHOUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
MTLUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
NEARUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
NMRUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
ONDOUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
PENDLEUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
PEOPLEUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
PROMUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
PYTHUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
QNTUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
RAYSOLUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
RUNEUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
SFPUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
SOLUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
SPXUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
STEEMUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
STXUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
SUNUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
TAOUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
TRBUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
TRXUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
UNIUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
USTCUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
VELODROMEUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
VTHOUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
XLMUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
XMRUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
ZECUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
ZRXUSDT,long,7,,,,,,SKIPPED,MAX_OPEN
