lookback,top_k,bottom_k,rebalance,filter_long,filter_short,cagr,max_dd,sharpe,calmar,total_return,n_periods,avg_turnover,avg_long_ret,avg_short_ret,yr_2020,yr_2021,yr_2022,yr_2023,yr_2024,yr_2025,yr_2026
10,10,5,weekly,none,ema200_below,-3.22,-57.84,0.141,-0.056,-18.2,310,83.5,0.639,-0.159,38.49,-17.99,32.89,-12.85,-9.07,-23.22,-11.23
10,10,5,weekly,ema200_above,none,21.9,-49.22,0.758,0.445,250.44,244,82.8,1.059,0.757,38.5,59.57,7.39,29.05,14.31,9.97,-10.17
10,10,5,weekly,ema200_above,ema200_below,-6.42,-53.02,0.059,-0.121,-30.64,226,81.3,0.108,0.241,21.71,-38.5,8.0,8.72,7.08,-13.48,-17.4
10,10,5,biweekly,none,none,4.46,-72.93,0.484,0.061,31.76,164,92.4,2.688,-0.991,-15.62,317.34,-22.21,7.83,-55.06,26.34,-21.69
10,10,5,biweekly,none,ema200_below,-2.39,-73.66,0.274,-0.032,-15.25,155,91.9,1.21,-0.271,4.79,118.21,-22.56,16.44,-58.88,23.8,-18.03
10,10,5,biweekly,ema200_above,none,20.64,-56.5,0.992,0.365,211.48,121,90.1,3.313,0.228,-23.7,159.16,2.57,25.32,-36.93,77.51,7.17
10,10,5,biweekly,ema200_above,ema200_below,6.39,-58.45,0.673,0.109,48.49,113,89.1,0.994,1.095,-8.77,30.35,3.23,28.74,-46.6,74.25,-1.78
10,10,10,weekly,none,none,10.92,-60.87,0.443,0.179,93.24,329,82.1,1.256,-0.258,58.53,62.79,24.01,-4.59,14.39,-24.58,-27.18
10,10,10,weekly,none,ema200_below,-6.13,-64.83,-0.034,-0.095,-33.27,294,82.0,0.331,-0.13,42.38,-5.81,15.17,-17.09,-12.55,-30.71,-13.12
10,10,10,weekly,ema200_above,none,14.2,-40.92,0.6,0.347,131.44,244,80.7,1.059,0.266,49.77,25.89,5.64,22.37,36.45,-14.87,-18.85
10,10,10,weekly,ema200_above,ema200_below,-4.42,-49.29,-0.003,-0.09,-23.64,211,80.0,-0.247,0.482,32.45,-24.33,3.65,7.33,3.75,-21.88,-15.47
10,10,10,biweekly,none,none,15.96,-55.59,0.731,0.287,155.3,164,90.5,2.688,-0.528,1.59,354.4,-35.0,13.3,-23.6,40.84,-31.06
10,10,10,biweekly,none,ema200_below,2.75,-64.39,0.332,0.043,13.22,147,90.2,1.622,-0.728,29.13,94.98,-35.81,4.62,-31.15,32.7,-23.47
10,10,10,biweekly,ema200_above,none,37.26,-30.49,1.442,1.222,570.13,121,88.4,3.313,0.962,-4.67,192.1,2.36,29.64,-0.06,89.93,-6.43
10,10,10,biweekly,ema200_above,ema200_below,18.11,-25.77,1.235,0.703,167.11,106,87.3,1.214,1.361,9.97,28.98,1.71,14.03,-11.11,78.95,-1.74
10,10,15,weekly,none,none,10.32,-52.25,0.428,0.198,85.39,328,80.2,1.308,-0.394,39.88,72.63,21.77,-12.51,11.6,-10.54,-27.93
10,10,15,weekly,none,ema200_below,-5.69,-62.4,-0.081,-0.091,-33.62,278,80.8,0.482,-0.339,40.59,-2.5,14.14,-24.25,-9.77,-20.06,-18.72
10,10,15,weekly,ema200_above,none,13.71,-39.32,0.597,0.349,125.32,244,79.0,1.059,0.176,35.12,32.35,4.94,11.54,32.08,-0.07,-19.01
10,10,15,weekly,ema200_above,ema200_below,-3.71,-44.78,-0.033,-0.083,-21.44,197,79.1,-0.396,0.591,29.67,-21.07,3.28,-3.37,3.69,-10.59,-14.83
10,10,15,biweekly,none,none,13.9,-56.93,0.664,0.244,122.99,163,89.1,2.878,-0.961,0.1,337.46,-24.43,-4.56,-26.63,40.19,-30.93
10,10,15,biweekly,none,ema200_below,-0.67,-57.92,0.153,-0.011,-7.53,141,88.7,1.119,-0.593,29.31,36.95,-22.02,-6.24,-26.32,38.61,-27.43
10,10,15,biweekly,ema200_above,none,30.88,-28.08,1.278,1.099,400.77,121,87.4,3.313,0.388,-6.36,174.24,2.13,11.02,-5.85,91.34,-5.71
10,10,15,biweekly,ema200_above,ema200_below,11.83,-28.93,1.014,0.409,96.78,101,86.5,0.509,1.45,8.76,-8.42,4.02,4.63,-5.94,89.06,-2.59
10,10,20,weekly,none,none,8.24,-52.06,0.379,0.158,63.88,327,78.1,1.36,-0.544,40.79,49.73,12.56,-9.42,10.7,-5.77,-26.84
10,10,20,weekly,none,ema200_below,-7.87,-59.84,-0.193,-0.132,-42.15,268,80.1,0.257,-0.245,29.13,-5.5,4.2,-26.03,-9.74,-11.7,-19.82
10,10,20,weekly,ema200_above,none,11.71,-39.1,0.537,0.299,98.95,243,77.4,1.124,-0.007,30.87,14.58,4.38,11.14,29.59,5.7,-18.64
10,10,20,weekly,ema200_above,ema200_below,-4.95,-43.76,-0.084,-0.113,-24.11,194,77.6,-0.435,0.568,18.96,-23.25,1.52,-5.96,3.49,-0.53,-16.43
10,10,20,biweekly,none,none,15.88,-51.21,0.753,0.31,148.74,163,87.1,2.878,-0.937,5.83,302.19,-19.42,-2.36,-21.19,40.71,-32.76
10,10,20,biweekly,none,ema200_below,-3.33,-54.5,-0.028,-0.061,-21.42,135,88.9,0.515,-0.292,24.57,19.12,-19.84,-4.13,-26.86,38.91,-29.97
10,10,20,biweekly,ema200_above,none,30.93,-27.55,1.383,1.123,405.86,121,86.0,3.313,0.287,-2.33,149.91,2.44,8.56,-0.16,92.92,-5.15
10,10,20,biweekly,ema200_above,ema200_below,9.97,-26.81,0.959,0.372,77.87,99,85.5,0.231,1.487,13.98,-20.0,2.49,6.3,-7.05,90.82,-3.02
10,15,5,weekly,none,none,10.55,-50.66,0.452,0.208,88.64,328,83.3,0.981,0.013,31.82,57.92,16.69,-7.47,1.56,2.3,-19.69
10,15,5,weekly,none,ema200_below,-6.24,-58.74,0.019,-0.106,-33.01,310,82.4,0.433,-0.159,26.88,-30.04,13.85,-15.69,-0.9,-19.46,-1.71
10,15,5,weekly,ema200_above,none,20.95,-45.13,0.846,0.464,215.71,207,80.3,1.515,0.288,25.92,45.29,-1.62,0.78,41.25,20.37,0.76
10,15,5,weekly,ema200_above,ema200_below,-3.15,-58.78,0.117,-0.054,-15.69,190,79.1,0.571,-0.141,16.88,-36.59,2.37,-16.95,36.01,-8.28,5.13
10,15,5,biweekly,none,none,0.19,-70.93,0.349,0.003,2.0,163,90.8,2.342,-1.176,-19.78,205.21,-26.86,-1.67,-46.67,16.75,-7.67
10,15,5,biweekly,none,ema200_below,-5.55,-70.87,0.115,-0.078,-30.62,155,90.2,0.793,-0.271,-2.62,70.01,-27.08,6.34,-50.44,14.6,-3.81
10,15,5,biweekly,ema200_above,none,16.26,-52.53,0.969,0.31,148.23,107,87.0,3.751,-0.617,-21.11,170.36,1.29,2.05,-31.29,59.54,1.27
10,15,5,biweekly,ema200_above,ema200_below,3.81,-53.94,0.585,0.071,27.48,99,85.8,1.327,0.433,-10.05,41.85,-0.98,4.97,-40.72,56.9,1.27
10,15,10,weekly,none,none,4.91,-53.4,0.308,0.092,35.01,328,80.9,0.981,-0.313,41.57,22.98,6.44,-7.55,23.15,-20.92,-19.06
10,15,10,weekly,none,ema200_below,-8.93,-64.37,-0.199,-0.139,-43.94,294,80.9,0.149,-0.13,25.87,-18.66,-1.27,-17.82,-4.06,-27.24,-3.72
10,15,10,weekly,ema200_above,none,16.1,-46.31,0.771,0.348,147.74,207,78.5,1.515,-0.11,35.27,15.12,-1.77,-4.79,70.86,-0.06,-2.11
10,15,10,weekly,ema200_above,ema200_below,-0.46,-43.77,0.182,-0.011,1.91,175,77.8,0.217,0.239,21.93,-24.33,-0.56,-14.1,33.67,-9.57,2.16
10,15,10,biweekly,none,none,11.45,-54.98,0.638,0.208,96.02,163,88.9,2.342,-0.721,-1.68,233.72,-38.6,3.38,-11.43,30.6,-18.64
10,15,10,biweekly,none,ema200_below,-0.5,-62.92,0.168,-0.008,-4.95,147,88.7,1.265,-0.728,16.18,64.94,-39.36,-5.09,-20.88,23.38,-9.94
10,15,10,biweekly,ema200_above,none,32.99,-20.29,1.641,1.626,451.4,107,85.4,3.751,0.341,-1.47,202.35,-1.22,7.51,6.55,60.14,0.76
10,15,10,biweekly,ema200_above,ema200_below,14.3,-27.94,1.218,0.512,119.04,92,84.4,1.627,0.721,8.8,40.62,-2.64,-3.46,-6.2,51.11,4.71
10,15,15,weekly,none,none,4.23,-45.18,0.282,0.094,29.57,328,79.0,0.981,-0.394,25.23,30.09,4.45,-15.07,19.77,-6.49,-19.91
10,15,15,weekly,none,ema200_below,-8.78,-60.74,-0.293,-0.145,-44.91,278,79.9,0.283,-0.339,25.65,-13.15,-2.17,-25.73,-5.47,-16.41,-9.8
10,15,15,weekly,ema200_above,none,16.07,-42.78,0.805,0.376,146.07,207,76.9,1.515,-0.18,23.29,22.0,0.02,-9.79,64.46,13.14,-3.76
10,15,15,weekly,ema200_above,ema200_below,0.98,-43.72,0.184,0.023,3.84,163,76.7,0.018,0.409,27.63,-20.19,-1.06,-20.8,29.59,0.54,1.67
10,15,15,biweekly,none,none,9.29,-55.88,0.563,0.166,73.26,163,87.3,2.342,-0.961,-3.21,221.55,-28.62,-12.99,-15.33,30.24,-18.57
10,15,15,biweekly,none,ema200_below,-2.98,-58.75,-0.018,-0.051,-18.15,141,87.4,0.829,-0.593,17.24,25.11,-26.31,-14.69,-18.31,28.95,-14.55
10,15,15,biweekly,ema200_above,none,27.45,-18.33,1.464,1.498,324.76,107,84.2,3.751,-0.235,-3.01,182.95,0.23,-6.3,-0.11,61.84,1.42
10,15,15,biweekly,ema200_above,ema200_below,7.86,-32.34,0.913,0.243,60.45,87,83.4,0.813,0.817,7.83,0.1,-0.82,-10.09,-4.3,60.18,3.79
10,15,20,weekly,none,none,2.32,-46.56,0.219,0.05,15.14,327,76.9,1.033,-0.544,26.31,13.56,-3.5,-12.06,18.76,-1.72,-18.77
10,15,20,weekly,none,ema200_below,-10.91,-63.67,-0.449,-0.171,-52.08,268,79.4,0.054,-0.245,17.73,-15.81,-10.73,-27.45,-7.23,-7.84,-11.09
10,15,20,weekly,ema200_above,none,14.23,-42.32,0.755,0.336,124.43,207,75.0,1.515,-0.296,24.06,6.86,-0.53,-9.2,62.29,18.85,-4.29
10,15,20,weekly,ema200_above,ema200_below,-0.21,-46.14,0.131,-0.005,0.07,160,75.2,-0.036,0.393,19.27,-21.95,-1.74,-22.13,25.85,11.01,-0.7
10,15,20,biweekly,none,none,10.98,-49.6,0.663,0.221,91.02,163,85.4,2.342,-0.937,2.36,193.19,-23.92,-11.06,-9.22,30.6,-20.69
10,15,20,biweekly,none,ema200_below,-4.82,-55.44,-0.2,-0.087,-26.92,135,87.8,0.301,-0.292,17.17,12.07,-24.29,-12.7,-20.13,28.95,-17.51
10,15,20,biweekly,ema200_above,none,27.36,-18.76,1.628,1.458,326.04,107,82.8,3.751,-0.343,1.15,155.95,-0.03,-7.64,5.76,64.41,1.21
10,15,20,biweekly,ema200_above,ema200_below,6.87,-28.93,0.895,0.238,51.36,85,82.4,0.545,0.913,13.02,-9.88,-1.28,-7.49,-6.87,62.68,3.2
10,20,5,weekly,none,none,9.58,-50.54,0.43,0.19,75.62,327,81.4,0.951,-0.04,29.78,43.43,24.99,-2.95,-3.72,-0.71,-17.95
10,20,5,weekly,none,ema200_below,-6.29,-59.27,0.007,-0.106,-33.11,310,80.5,0.41,-0.159,21.62,-31.14,21.98,-11.45,-5.92,-21.87,0.25
10,20,5,weekly,ema200_above,none,22.35,-45.71,1.031,0.489,229.34,172,80.4,1.945,0.093,10.39,39.73,-5.45,3.17,53.01,32.01,6.57
10,20,5,weekly,ema200_above,ema200_below,-1.26,-63.04,0.153,-0.02,-8.26,155,79.1,0.889,-0.407,11.28,-37.61,-2.07,-14.52,44.34,-0.43,11.18
10,20,5,biweekly,none,none,-1.98,-72.33,0.271,-0.027,-11.06,163,88.6,2.081,-1.176,-18.69,153.75,-26.23,-5.42,-44.29,13.94,-3.33
10,20,5,biweekly,none,ema200_below,-7.39,-70.04,0.045,-0.105,-38.65,155,88.2,0.632,-0.271,-5.12,51.1,-26.36,2.28,-48.98,12.0,0.63
10,20,5,biweekly,ema200_above,none,24.19,-44.08,1.276,0.549,185.08,87,87.3,3.771,-0.05,10.8,113.82,2.46,-4.05,0.3,39.27,7.68
10,20,5,biweekly,ema200_above,ema200_below,8.88,-52.82,0.967,0.168,70.66,79,86.0,1.091,1.505,7.76,26.93,1.24,-0.11,-17.83,32.36,7.68
10,20,10,weekly,none,none,3.91,-52.74,0.278,0.074,26.6,327,79.1,0.951,-0.364,38.72,10.51,14.05,-2.96,17.61,-22.9,-17.41
10,20,10,weekly,none,ema200_below,-8.51,-61.95,-0.21,-0.137,-42.51,294,79.1,0.143,-0.13,21.85,-23.03,5.8,-12.04,-5.5,-29.01,-1.81
10,20,10,weekly,ema200_above,none,16.59,-46.92,0.954,0.354,152.31,172,78.7,1.945,-0.38,15.53,12.36,-4.12,-4.63,75.62,16.05,1.09
10,20,10,weekly,ema200_above,ema200_below,2.77,-42.09,0.314,0.066,13.78,142,77.8,0.547,0.041,17.54,-23.53,-2.0,-12.77,40.88,2.81,5.0
10,20,10,biweekly,none,none,9.51,-55.98,0.604,0.17,75.64,163,86.8,2.081,-0.721,-0.56,177.03,-38.06,-0.52,-4.81,27.69,-14.8
10,20,10,biweekly,none,ema200_below,-1.59,-61.41,0.094,-0.026,-11.14,147,86.9,1.13,-0.728,11.17,50.87,-38.81,-8.83,-14.89,20.73,-5.76
10,20,10,biweekly,ema200_above,none,34.24,-19.57,2.101,1.75,397.38,87,85.5,3.771,0.675,12.91,137.01,0.74,-0.42,41.93,39.37,3.52
10,20,10,biweekly,ema200_above,ema200_below,15.24,-25.19,1.753,0.605,129.59,74,84.2,1.596,1.189,9.44,32.04,-0.24,-9.48,22.88,31.61,5.94
10,20,15,weekly,none,none,3.2,-44.46,0.25,0.072,21.8,327,77.2,0.951,-0.445,22.16,16.99,12.01,-10.83,14.5,-8.84,-18.29
10,20,15,weekly,none,ema200_below,-8.17,-57.21,-0.302,-0.143,-42.18,278,78.1,0.292,-0.339,21.1,-17.17,4.91,-20.58,-5.97,-18.48,-8.03
10,20,15,weekly,ema200_above,none,15.77,-43.97,0.987,0.359,140.76,172,77.0,1.945,-0.499,9.78,17.65,-2.1,-9.73,68.63,22.73,-0.67
10,20,15,weekly,ema200_above,ema200_below,2.91,-39.44,0.433,0.074,21.65,131,76.6,0.47,0.185,12.72,-17.05,-1.57,-18.54,37.96,8.89,4.05
10,20,15,biweekly,none,none,7.42,-55.68,0.524,0.133,55.51,163,85.2,2.081,-0.961,-2.05,166.48,-28.01,-16.31,-8.69,27.43,-14.76
10,20,15,biweekly,none,ema200_below,-3.14,-55.76,-0.064,-0.056,-19.0,141,85.6,0.768,-0.593,12.83,18.73,-25.66,-18.05,-10.84,26.22,-10.61
10,20,15,biweekly,ema200_above,none,28.57,-17.84,1.877,1.601,283.38,87,84.2,3.771,-0.011,10.91,121.02,1.8,-9.91,29.29,42.59,3.3
10,20,15,biweekly,ema200_above,ema200_below,10.45,-28.72,1.444,0.364,73.81,69,83.6,0.868,1.191,7.65,1.66,1.49,-14.04,23.21,39.23,5.28
10,20,20,weekly,none,none,1.28,-43.73,0.177,0.029,8.17,327,74.9,0.951,-0.544,23.19,1.99,3.51,-7.77,13.71,-4.22,-17.13
10,20,20,weekly,none,ema200_below,-9.88,-60.33,-0.448,-0.164,-48.18,268,77.9,0.088,-0.245,16.68,-19.73,-4.25,-22.4,-7.49,-10.19,-9.34
10,20,20,weekly,ema200_above,none,14.31,-42.6,0.924,0.336,118.88,172,75.1,1.945,-0.635,12.93,3.01,-2.02,-8.55,65.22,26.57,-0.0
10,20,20,weekly,ema200_above,ema200_below,1.97,-40.03,0.368,0.049,15.69,129,75.1,0.38,0.177,6.61,-18.27,-1.18,-19.45,34.46,16.21,2.78
10,20,20,biweekly,none,none,8.94,-47.94,0.638,0.186,70.08,163,83.2,2.081,-0.937,3.5,140.91,-23.25,-14.53,-1.85,27.71,-16.99
10,20,20,biweekly,none,ema200_below,-4.73,-53.1,-0.256,-0.089,-26.48,135,86.3,0.262,-0.292,14.85,8.8,-23.61,-16.13,-14.84,26.07,-13.71
10,20,20,biweekly,ema200_above,none,26.53,-18.31,2.067,1.449,255.65,87,83.0,3.771,-0.291,11.23,97.46,2.1,-11.21,34.07,40.99,3.73
10,20,20,biweekly,ema200_above,ema200_below,7.61,-21.67,1.369,0.351,53.09,67,82.9,0.533,1.125,5.9,-6.47,1.49,-11.19,15.39,38.11,5.08
20,5,5,weekly,none,none,18.53,-58.15,0.566,0.319,192.55,331,72.1,1.785,-0.207,54.27,117.97,-33.4,14.95,36.7,16.66,-28.63
20,5,5,weekly,none,ema200_below,5.81,-62.25,0.368,0.093,42.74,310,71.8,1.046,-0.095,57.33,56.18,-39.42,-6.22,24.3,12.84,-27.34
20,5,5,weekly,ema200_above,none,23.01,-52.43,0.669,0.439,269.93,292,72.1,1.715,0.129,66.43,62.0,-4.47,53.54,29.97,-12.06,-18.04
20,5,5,weekly,ema200_above,ema200_below,10.37,-49.63,0.484,0.209,85.94,271,71.6,0.864,0.306,69.7,16.16,-10.53,25.38,18.04,-15.07,-16.44
20,5,5,biweekly,none,none,60.9,-62.31,1.306,0.977,1885.39,165,86.9,4.049,1.39,40.54,839.03,-33.29,-13.02,80.58,64.01,-12.33
20,5,5,biweekly,none,ema200_below,25.64,-61.83,1.035,0.415,322.23,155,86.4,1.804,1.284,16.13,197.62,-38.72,-11.63,67.27,57.68,-16.4
20,5,5,biweekly,ema200_above,none,73.8,-35.03,1.567,2.106,3123.14,145,86.3,3.987,2.696,72.86,576.09,4.11,35.86,70.6,38.6,-17.41
20,5,5,biweekly,ema200_above,ema200_below,36.18,-37.65,1.396,0.961,595.2,135,85.7,1.406,2.705,42.78,114.66,-2.15,38.31,57.73,33.02,-21.81
20,5,10,weekly,none,none,21.35,-60.16,0.597,0.355,238.91,328,69.5,1.755,-0.221,43.67,197.05,-34.48,-14.04,48.32,38.67,-31.98
20,5,10,weekly,none,ema200_below,2.14,-63.73,0.279,0.034,15.01,294,70.2,0.654,0.058,49.96,46.09,-35.93,-24.49,12.33,41.32,-32.17
20,5,10,weekly,ema200_above,none,24.61,-40.25,0.692,0.611,300.12,289,69.5,1.68,0.084,50.53,118.13,-5.82,13.3,40.92,3.03,-21.96
20,5,10,weekly,ema200_above,ema200_below,4.98,-39.24,0.367,0.127,37.49,255,70.3,0.4,0.457,55.73,7.29,-6.61,-0.47,6.7,4.91,-22.14
20,5,10,biweekly,none,none,43.91,-61.8,1.104,0.711,875.79,163,85.4,4.052,0.324,29.78,662.98,-41.34,-14.12,70.15,52.79,-26.06
20,5,10,biweekly,none,ema200_below,14.22,-62.75,0.722,0.227,113.96,147,86.0,2.162,-0.114,34.87,152.43,-42.85,-24.65,37.91,54.05,-27.07
20,5,10,biweekly,ema200_above,none,54.84,-34.76,1.346,1.578,1434.85,143,84.9,3.991,1.52,57.09,447.77,2.27,18.78,60.07,29.19,-30.14
20,5,10,biweekly,ema200_above,ema200_below,22.6,-34.97,1.063,0.646,238.03,127,85.3,1.797,1.171,55.11,81.78,0.11,4.18,29.57,30.24,-31.33
20,5,15,weekly,none,none,13.1,-64.92,0.473,0.202,116.82,327,67.7,1.799,-0.558,35.78,228.64,-35.73,-27.26,36.3,26.52,-40.0
20,5,15,weekly,none,ema200_below,-7.92,-68.25,0.0,-0.116,-43.7,278,69.0,0.63,-0.423,37.35,19.76,-36.53,-31.23,9.41,27.69,-40.28
20,5,15,weekly,ema200_above,none,17.12,-43.88,0.572,0.39,169.8,288,67.8,1.73,-0.256,40.45,146.3,-2.22,-4.62,29.56,-6.84,-31.06
20,5,15,weekly,ema200_above,ema200_below,-5.15,-56.54,0.07,-0.091,-28.87,239,69.2,0.363,-0.03,33.72,-7.92,-2.56,-9.81,3.94,-6.02,-31.39
20,5,15,biweekly,none,none,34.8,-68.54,0.966,0.508,545.87,163,83.5,4.052,-0.21,28.31,639.45,-51.35,-25.51,45.2,67.41,-23.59
20,5,15,biweekly,none,ema200_below,2.01,-67.81,0.327,0.03,6.89,141,84.5,1.221,-0.209,25.33,53.69,-51.82,-22.25,25.56,66.22,-24.93
20,5,15,biweekly,ema200_above,none,48.46,-37.27,1.251,1.3,1074.37,143,83.1,3.991,1.116,55.9,432.95,2.21,-1.63,36.28,41.39,-27.76
20,5,15,biweekly,ema200_above,ema200_below,12.59,-38.74,0.8,0.325,108.1,121,84.0,0.792,1.361,39.29,19.62,1.46,2.64,17.86,40.3,-29.17
20,5,20,weekly,none,none,7.79,-65.86,0.388,0.118,59.69,326,65.1,1.778,-0.729,26.01,215.94,-36.25,-29.28,32.97,19.9,-44.23
20,5,20,weekly,none,ema200_below,-10.56,-70.82,-0.072,-0.149,-52.3,268,67.8,0.404,-0.333,23.45,19.45,-37.63,-26.45,13.31,17.58,-44.49
20,5,20,weekly,ema200_above,none,11.91,-51.28,0.483,0.232,103.29,287,65.5,1.705,-0.434,27.39,139.39,0.03,-7.83,26.39,-11.62,-35.83
20,5,20,weekly,ema200_above,ema200_below,-8.92,-57.88,-0.016,-0.154,-39.75,230,68.5,0.107,0.07,12.17,-7.06,-1.12,-4.15,7.69,-13.46,-36.07
20,5,20,biweekly,none,none,27.03,-66.38,0.825,0.407,320.64,162,81.3,4.309,-0.973,27.77,517.21,-48.78,-27.82,35.08,55.04,-28.31
20,5,20,biweekly,none,ema200_below,-4.19,-67.69,0.096,-0.062,-26.22,135,83.8,0.652,-0.177,8.56,32.55,-49.49,-20.91,25.18,52.92,-30.21
20,5,20,biweekly,ema200_above,none,38.31,-40.41,1.066,0.948,604.64,142,81.2,4.285,0.158,44.77,343.82,2.6,-4.71,26.75,30.35,-32.14
